IPv4-адрес,Критерий доступности,Сумма чисел
1.1.1.172,port_80_open,175
1.1.1.173,port_80_open,176
1.1.1.174,port_80_open,177
1.1.1.175,port_80_open,178
1.1.1.176,port_80_open,179
1.1.1.177,port_80_open,180
1.1.1.178,port_80_open,181
1.1.1.179,port_80_open,182
1.1.1.180,port_80_open,183
1.1.1.181,port_80_open,184
1.1.1.182,port_80_open,185
1.1.1.183,port_80_open,186
1.1.1.184,port_80_open,187
1.1.1.185,port_80_open,188
1.1.1.186,port_80_open,189
1.1.1.187,port_80_open,190
1.1.1.188,port_80_open,191
1.1.1.189,port_80_open,192
1.1.1.190,port_80_open,193
1.1.1.191,port_80_open,194
1.1.1.192,port_80_open,195
1.1.1.193,port_80_open,196
1.1.1.194,port_80_open,197
1.1.1.195,port_80_open,198
1.1.1.196,port_80_open,199
1.1.1.197,port_80_open,200
1.1.1.198,port_80_open,201
1.1.1.199,port_80_open,202
172.217.0.80,port_80_open,469
172.217.0.160,port_80_open,549
172.217.0.180,port_80_open,569
172.217.1.4,port_80_open,394
172.217.1.24,port_80_open,414
172.217.1.104,port_80_open,494
172.217.1.204,port_443_open,594
172.217.2.48,port_80_open,439
172.217.2.108,port_443_open,499
172.217.2.128,port_80_open,519
172.217.2.148,port_80_open,539
172.217.2.208,port_80_open,599
172.217.3.12,port_443_open,404
172.217.3.72,port_80_open,464
172.217.3.132,port_80_open,524
172.217.3.152,port_80_open,544
172.217.4.36,port_80_open,429
172.217.4.56,port_80_open,449
172.217.4.76,port_443_open,469
172.217.4.96,port_80_open,489
172.217.4.116,port_80_open,509
172.217.4.176,port_80_open,569
172.217.4.196,port_80_open,589
172.217.4.216,port_80_open,609
172.217.5.0,port_80_open,394
172.217.5.20,port_80_open,414
172.217.7.48,port_80_open,444
172.217.12.8,port_80_open,409
172.217.12.108,port_443_open,509
172.217.12.128,port_80_open,529
172.217.12.148,port_80_open,549
172.217.13.12,port_443_open,414
172.217.14.76,port_443_open,479
172.217.14.96,port_80_open,499
172.217.14.116,port_80_open,519
172.217.14.196,port_80_open,599
172.217.14.216,port_80_open,619
172.217.14.236,port_443_open,639
172.217.15.0,port_80_open,404
172.217.15.20,port_80_open,424
104.16.0.0,port_80_open,120
104.16.1.71,port_80_open,192
104.16.2.142,port_80_open,264
104.16.3.213,port_80_open,336
104.16.5.28,port_80_open,153
104.16.6.99,port_80_open,225
104.16.7.170,port_80_open,297
104.16.8.241,port_80_open,369
104.16.10.56,port_80_open,186
104.16.11.127,port_80_open,258
104.16.12.198,port_80_open,330
104.16.14.13,port_80_open,147
104.16.15.84,port_80_open,219
104.16.16.155,port_80_open,291
104.16.17.226,port_80_open,363
104.16.19.41,port_80_open,180
104.16.20.112,port_80_open,252
104.16.21.183,port_80_open,324
104.16.22.254,port_80_open,396
104.16.24.69,port_80_open,213
104.16.25.140,port_80_open,285
104.16.26.211,port_80_open,357
104.16.28.26,port_80_open,174
104.16.29.97,port_80_open,246
104.16.30.168,port_80_open,318
